image_name,width,height,noise,epssqr,K,architecture,N,Nthreads,Ngpu,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
usi,500,300,00,0.000090,2,0,1,1,1,10, 85.9051, 0.0498941, 76.2152, 0, 0, 1, 2, 0.010504245758056641, 0.00066518783569335938, 0.0018367767333984375, 0.000675201416015625, 1.6689300537109375e-05, 0, 0.0016012191772460938, 0.0057091712951660156, 0.001192563974017684, 0.0011155638707537874, 7.7000103263896472e-05, 9891, 9911, 57.0256, 6.54564, 18.0339, 6.60308, 10.1492, 0.00361586, 15.6599, 0.0303073, 
usi,250,150,02,0.000005,2,0,1,1,1,10, 86.4553, 0.0133383, 56.3558, 0, 0, 1, 2, 0.0047554969787597656, 0.00024247169494628906, 0.00088953971862792969, 0.00026464462280273438, 1.6450881958007812e-05, 0, 0.00072312355041503906, 0.0026192665100097656, 0.037175706248809191, 0.035223120851222957, 0.0019525853975862391, 803, 823, 2.13754, 0.19629, 0.73146, 0.209843, 0.400376, 0.000310183, 0.589918, 0.00933862, 
usi,250,150,00,0.000100,2,0,1,1,1,10, 92.1205, 0.0133588, 62.4285, 0, 0, 1, 2, 0.0048356056213378906, 0.00024914741516113281, 0.00091719627380371094, 0.00026631355285644531, 1.6689300537109375e-05, 0, 0.00071001052856445312, 0.0026762485504150391, 0.0011795193247176239, 0.0011104818903398782, 6.9037434377745494e-05, 3858, 3878, 9.98929, 0.939111, 3.40179, 1.00072, 1.91501, 0.00142694, 2.71943, 0.0117991, 
usi,500,300,04,0.000006,2,0,1,1,1,10, 23.9893, 0.0494883, 21.5215, 0, 0, 1, 2, 0.010730743408203125, 0.0006809234619140625, 0.0018112659454345703, 0.00070500373840332031, 1.6689300537109375e-05, 2.384185791015625e-07, 0.0016636848449707031, 0.0058529376983642578, 0.10185105927211718, 0.099816215726303392, 0.0020348435458137724, 2764, 2784, 16.1187, 1.84084, 4.98366, 1.87816, 2.85081, 0.00102186, 4.53941, 0.0248353, 
usi,500,300,00,0.010000,2,0,1,1,1,18, 109.483, 0.0684726, 107.91, 0, 0, 1, 2, 0.010773181915283203, 0.00068044662475585938, 0.0019228458404541016, 0.00067973136901855469, 1.621246337890625e-05, 0, 0.0016753673553466797, 0.0057985782623291016, 0.001269339164119365, 0.0012675783706894502, 1.7607934299383216e-06, 18010, 18038, 104.755, 11.8398, 32.9387, 12.0797, 18.5739, 0.0066874, 29.271, 0.045639, 
usi,250,150,02,0.000080,2,0,1,1,1,10, 75.0755, 0.0128105, 52.4943, 0, 0, 1, 2, 0.0047523975372314453, 0.00024557113647460938, 0.00090146064758300781, 0.00026631355285644531, 1.6689300537109375e-05, 0, 0.00073170661926269531, 0.0025906562805175781, 0.039715293072246971, 0.039458049780403986, 0.00025724329184298521, 4515, 4535, 11.7337, 1.08962, 3.97435, 1.17666, 2.23096, 0.00173211, 3.24813, 0.012233, 
usi,250,150,04,0.000005,2,0,1,1,1,10, 36.2214, 0.0127294, 24.1587, 0, 0, 1, 2, 0.0047247409820556641, 0.00024318695068359375, 0.00089693069458007812, 0.00026488304138183594, 1.6689300537109375e-05, 0, 0.00072741508483886719, 0.0025756359100341797, 0.096624094505151553, 0.090580702088748605, 0.0060433924164029415, 629, 649, 1.69048, 0.154175, 0.580576, 0.16381, 0.31479, 0.000255823, 0.467697, 0.00917077, 
usi,250,150,04,0.000009,2,0,1,1,1,10, 24.9693, 0.0126731, 17.769, 0, 0, 1, 2, 0.0047631263732910156, 0.00024557113647460938, 0.00089287757873535156, 0.00026559829711914062, 1.5974044799804688e-05, 0, 0.00072884559631347656, 0.0026142597198486328, 0.099680425683669818, 0.095319658955859726, 0.0043607667278100903, 1063, 1083, 2.84326, 0.260439, 0.98147, 0.279049, 0.530408, 0.000416517, 0.781902, 0.00957942, 
usi,250,150,00,0.000008,2,0,1,1,1,10, 74.4534, 0.012965, 51.6616, 0, 0, 1, 2, 0.0047872066497802734, 0.00024652481079101562, 0.00089406967163085938, 0.00026679039001464844, 1.5974044799804688e-05, 0, 0.00073194503784179688, 0.0026319026947021484, 0.00057833516217140166, 0.00027928360478879149, 0.00029905155738261022, 741, 761, 1.97625, 0.183056, 0.678971, 0.193413, 0.362692, 0.000307798, 0.548492, 0.00931764, 
usi,250,150,10,0.000100,2,0,1,1,1,10, 26.549, 0.0128379, 26.1248, 0, 0, 1, 2, 0.0048351287841796875, 0.00024867057800292969, 0.00089955329895019531, 0.00027012825012207031, 1.6450881958007812e-05, 0, 0.00074982643127441406, 0.0026504993438720703, 0.18407831103488484, 0.18303105666509095, 0.0010472543697938696, 9642, 9662, 24.8095, 2.32234, 8.34887, 2.51861, 4.67782, 0.00360608, 6.92192, 0.016351, 
