K,epssqr,L,Theta0,Theta1,Gamma nbins,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
1,400,-0.169243,1.2152,11.9792,1,23, 0.6434, 0.0093255, 0.0706341, 0.00730133, 0.518632, 1, 2, 0.00082111358642578125, 0.00023126602172851562, 5.5789947509765625e-05, 6.4611434936523438e-05, 4.4584274291992188e-05, 2.384185791015625e-06, 5.9366226196289062e-05, 0.00036311149597167969, -0.16924326289244446, -0.16924326289244446, 0, 45, 90, 0.069984, 0.013618, 0.00684261, 0.00430083, 0.00687766, 0.000265837, 0.00732136, 0.0307577, 
1,500,-0.169243,1.2152,11.9792,1,24, 0.667828, 0.00962853, 0.0733995, 0.00757957, 0.538832, 1, 2, 0.0010688304901123047, 0.00033044815063476562, 5.6743621826171875e-05, 0.00017833709716796875, 4.3392181396484375e-05, 2.1457672119140625e-06, 5.6505203247070312e-05, 0.00040125846862792969, -0.16924326289244446, -0.16924326289244446, 0, 47, 94, 0.0727143, 0.014365, 0.00717854, 0.00481582, 0.00721908, 0.000279188, 0.00767803, 0.0311787, 
1,600,-0.169243,1.2152,11.9792,1,25, 0.703978, 0.00976348, 0.0752757, 0.00784564, 0.571806, 1, 2, 0.00098824501037597656, 0.00027132034301757812, 5.6743621826171875e-05, 6.3657760620117188e-05, 6.4373016357421875e-05, 2.1457672119140625e-06, 5.5789947509765625e-05, 0.00047421455383300781, -0.16924326289244446, -0.16924326289244446, 0, 49, 98, 0.0745661, 0.0149305, 0.00752187, 0.00494432, 0.00751925, 0.000290632, 0.0079248, 0.0314348, 
1,700,-0.169243,1.2152,11.9792,1,26, 0.729587, 0.0100033, 0.0771961, 0.00815105, 0.594107, 1, 2, 0.0008792877197265625, 0.000244140625, 5.5789947509765625e-05, 6.4134597778320312e-05, 4.2200088500976562e-05, 2.1457672119140625e-06, 5.5074691772460938e-05, 0.000415802001953125, -0.16924326289244446, -0.16924326289244446, 0, 51, 102, 0.0764556, 0.0155256, 0.00782871, 0.00508285, 0.00780058, 0.000301838, 0.00819135, 0.0317247, 
1,800,-0.169243,1.2152,11.9792,1,27, 0.753414, 0.0101318, 0.0790238, 0.00842428, 0.614707, 1, 2, 0.00089716911315917969, 0.00024104118347167969, 5.3882598876953125e-05, 6.5088272094726562e-05, 7.1287155151367188e-05, 6.4373016357421875e-06, 5.626678466796875e-05, 0.00040316581726074219, -0.16924326289244446, -0.16924326289244446, 0, 53, 106, 0.0782552, 0.0160592, 0.00807166, 0.00521398, 0.00804257, 0.000317335, 0.0084362, 0.0321143, 
1,900,-0.169243,1.2152,11.9792,1,28, 0.788217, 0.0102742, 0.0809655, 0.00869155, 0.646023, 1, 2, 0.00084757804870605469, 0.00025010108947753906, 5.4836273193359375e-05, 8.869171142578125e-05, 4.673004150390625e-05, 2.384185791015625e-06, 5.4597854614257812e-05, 0.00035023689270019531, -0.16924326289244446, -0.16924326289244446, 0, 55, 110, 0.0801721, 0.0167243, 0.0083251, 0.00537014, 0.00829506, 0.000329256, 0.00873804, 0.0323901, 
1,1000,-0.169243,1.2152,11.9792,1,29, 0.812987, 0.0104725, 0.0828929, 0.00899363, 0.667291, 1, 2, 0.00095462799072265625, 0.00024175643920898438, 0.00012326240539550781, 7.343292236328125e-05, 4.4345855712890625e-05, 2.6226043701171875e-06, 5.6028366088867188e-05, 0.00041317939758300781, -0.16924326289244446, -0.16924326289244446, 0, 57, 114, 0.0820668, 0.0172651, 0.00866151, 0.00554681, 0.00852942, 0.000341177, 0.00899673, 0.032726, 
1,2000,-0.169243,1.2152,11.9792,1,30, 0.840861, 0.0106738, 0.0879853, 0.00933099, 0.688205, 1, 2, 0.0035016536712646484, 0.00030589103698730469, 8.58306884765625e-05, 0.00038027763366699219, 9.34600830078125e-05, 3.5762786865234375e-06, 0.00010132789611816406, 0.0025312900543212891, -0.16924326289244446, -0.16924326289244446, 0, 59, 118, 0.0871222, 0.0179162, 0.00929332, 0.00603962, 0.00906348, 0.000356436, 0.00937819, 0.0350749, 
1,3000,-0.169243,1.2152,11.9792,1,31, 0.866395, 0.0108287, 0.0898972, 0.00959849, 0.710466, 1, 2, 0.00078368186950683594, 0.00024151802062988281, 3.9339065551757812e-05, 6.8426132202148438e-05, 4.3630599975585938e-05, 2.1457672119140625e-06, 5.435943603515625e-05, 0.00033426284790039062, -0.16924326289244446, -0.16924326289244446, 0, 61, 122, 0.0890028, 0.018491, 0.00948477, 0.00617623, 0.00936961, 0.000366926, 0.00965428, 0.03546, 
1,4000,-0.169243,1.2152,11.9792,1,32, 0.904565, 0.0110056, 0.0922623, 0.00995374, 0.74478, 1, 2, 0.00085473060607910156, 0.00024127960205078125, 5.4121017456054688e-05, 8.678436279296875e-05, 5.1736831665039062e-05, 2.384185791015625e-06, 5.8650970458984375e-05, 0.00035977363586425781, -0.16924326289244446, -0.16924326289244446, 0, 63, 126, 0.091331, 0.0191915, 0.00981617, 0.00637054, 0.00969791, 0.000382185, 0.00996256, 0.0359101, 
