K,epssqr,L,Theta0,Theta1,Theta2,Theta3,Theta4,Theta5,Gamma nbins,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
3,20,-0.378743,0.702824,5.64187,1.35802,15.8115,6.22083,65.0514,2343,88, 49.4994, 0.0113611, 46.0671, 0.0344059, 3.34337, 122, 123, 0.17323112487792969, 0.00031232833862304688, 0.0001010894775390625, 7.343292236328125e-05, 5.1021575927734375e-05, 2.1457672119140625e-06, 7.1287155151367188e-05, 0.17261981964111328, -0.37874283836610312, -0.38480168485496524, 0.0060588464888622195, 34542, 34641, 46.0655, 12.5962, 4.09784, 7.04695, 15.2527, 0.250256, 4.44342, 2.37807, 
3,30,-0.376546,0.703855,5.69375,6.17557,64.761,1.37939,15.8917,2347,93, 54.6732, 0.0116889, 51.0398, 0.0367208, 3.53996, 53, 54, 0.066950082778930664, 0.00030827522277832031, 0.0001087188720703125, 0.00010180473327636719, 4.76837158203125e-05, 2.1457672119140625e-06, 6.5326690673828125e-05, 0.066316127777099609, -0.37654550334595704, -0.38142949658892478, 0.0048839932429678963, 38268, 38373, 51.0381, 13.932, 4.55016, 7.89523, 16.8469, 0.273227, 4.92171, 2.61882, 
3,40,-0.375212,1.38691,15.9086,6.14606,64.5504,0.704782,5.71702,2349,99, 60.3823, 0.0120597, 56.5436, 0.0393658, 3.74017, 102, 103, 0.11727619171142578, 0.00030851364135742188, 0.00010061264038085938, 7.05718994140625e-05, 4.6014785766601562e-05, 2.384185791015625e-06, 6.6041946411132812e-05, 0.11668205261230469, -0.37521194002967989, -0.37965578656565641, 0.0044438465359764668, 43133, 43245, 56.5418, 15.5502, 5.11676, 8.75187, 18.4886, 0.325912, 5.45053, 2.85792, 
3,50,-0.374241,0.705154,5.73522,1.39394,15.9389,6.13415,64.4651,2353,104, 65.3091, 0.0124214, 61.2148, 0.0414786, 3.97549, 82, 83, 0.073724031448364258, 0.00031161308288574219, 0.00010371208190917969, 6.866455078125e-05, 4.7445297241210938e-05, 2.1457672119140625e-06, 6.8902969360351562e-05, 0.073121547698974609, -0.37424116778057059, -0.37852837050553489, 0.0042872027249642262, 47184, 47302, 61.2129, 16.854, 5.5559, 9.42718, 19.9717, 0.350715, 5.99834, 3.05496, 
3,60,-0.373464,0.705582,5.74412,6.1286,64.4239,1.39689,15.9499,2356,109, 70.1935, 0.0127726, 65.8701, 0.0436122, 4.20029, 86, 87, 0.14517569541931152, 0.00030827522277832031, 0.00010037422180175781, 6.9379806518554688e-05, 6.7949295043945312e-05, 2.1457672119140625e-06, 6.7949295043945312e-05, 0.14455962181091309, -0.37346350164226411, -0.37771428078013242, 0.0042507791378682954, 51049, 51173, 65.868, 18.0921, 5.99823, 10.1716, 21.5205, 0.374409, 6.45508, 3.25615, 
3,70,-0.372809,1.40027,15.9718,6.1284,64.4203,0.705871,5.75211,2357,116, 77.4555, 0.0131021, 72.8763, 0.0466108, 4.45058, 50, 51, 0.063008546829223633, 0.00033998489379882812, 9.918212890625e-05, 6.8187713623046875e-05, 4.8160552978515625e-05, 2.1457672119140625e-06, 6.771087646484375e-05, 0.062383174896240234, -0.37280867947164537, -0.37708204017820013, 0.0042733607065548393, 56782, 56914, 72.8742, 20.0736, 6.68651, 11.2753, 23.6897, 0.435569, 7.15601, 3.55757, 
3,80,-0.372236,0.706116,5.75843,1.40286,15.9911,6.12906,64.416,2360,121, 82.5779, 0.0134158, 77.7825, 0.0488994, 4.66227, 49, 50, 0.078944921493530273, 0.00030732154846191406, 0.00010037422180175781, 6.7472457885742188e-05, 4.863739013671875e-05, 2.1457672119140625e-06, 7.0810317993164062e-05, 0.078348159790039062, -0.37223566294873262, -0.37656763475775745, 0.0043319718090248345, 60679, 60817, 77.7802, 21.2978, 7.12108, 11.993, 25.5327, 0.459404, 7.66647, 3.70979, 
3,90,-0.371721,0.706344,5.76359,6.12918,64.4089,1.40469,16.0046,2361,126, 87.6876, 0.0136282, 82.692, 0.050905, 4.84019, 86, 87, 0.11705374717712402, 0.00030803680419921875, 0.00010371208190917969, 7.2240829467773438e-05, 4.673004150390625e-05, 2.384185791015625e-06, 6.8902969360351562e-05, 0.11645174026489258, -0.37172111953608111, -0.37615060574023951, 0.0044294862041583906, 64760, 64904, 82.6897, 22.6604, 7.57696, 12.8657, 27.0711, 0.484321, 8.10592, 3.92524, 
3,100,-0.371249,1.40647,16.0211,6.13239,64.4236,0.706546,5.76822,2363,133, 95.6453, 0.0139217, 90.3915, 0.0536125, 5.09323, 12, 13, 0.020473480224609375, 0.00030875205993652344, 0.0001010894775390625, 6.771087646484375e-05, 4.6014785766601562e-05, 2.1457672119140625e-06, 6.7234039306640625e-05, 0.019880533218383789, -0.37124931344939993, -0.37580201870212748, 0.0045527052527277291, 70570, 70722, 90.389, 24.749, 8.23891, 14.0865, 29.5498, 0.564301, 8.86342, 4.33718, 
3,200,-0.367718,0.708532,5.80353,1.41424,16.0904,6.14266,64.4288,2383,139, 102.793, 0.014164, 97.3096, 0.0559392, 5.31819, 1, 2, 0.001049041748046875, 0.00030851364135742188, 9.9897384643554688e-05, 6.6518783569335938e-05, 4.482269287109375e-05, 2.1457672119140625e-06, 6.7472457885742188e-05, 0.0004596710205078125, -0.36771822657316222, -0.37347845306893079, 0.0057602264957689747, 75809, 75968, 97.307, 26.6136, 8.86818, 15.1932, 31.7143, 0.607367, 9.55859, 4.75184, 
3,300,-0.365166,0.709847,5.82679,6.15227,64.4708,1.4187,16.1286,2398,145, 111.219, 0.0145099, 105.476, 0.0584738, 5.57186, 144, 145, 0.17841148376464844, 0.00032186508178710938, 0.00010824203491210938, 8.5592269897460938e-05, 5.2690505981445312e-05, 2.384185791015625e-06, 6.9379806518554688e-05, 0.17777132987976074, -0.36516574014868558, -0.37213174392461668, 0.0069660037759310123, 81953, 82119, 105.474, 28.8251, 9.58368, 16.4812, 34.3273, 0.692606, 10.3534, 5.21042, 
3,400,-0.363008,1.42346,16.1663,6.15483,64.4608,0.710586,5.84353,2407,153, 122.375, 0.0149329, 116.329, 0.0615911, 5.86954, 11, 12, 0.0089435577392578125, 0.00029349327087402344, 9.7036361694335938e-05, 7.1048736572265625e-05, 5.1975250244140625e-05, 2.384185791015625e-06, 8.869171142578125e-05, 0.00833892822265625, -0.36300832749243211, -0.37109978102166097, 0.0080914535292288016, 89776, 89951, 116.326, 31.6427, 10.5544, 18.1027, 38.1239, 0.752434, 11.4636, 5.68683, 
3,500,-0.361109,0.711006,5.85602,1.42767,16.1893,6.13953,64.3092,2417,162, 134.532, 0.0153284, 128.156, 0.0650256, 6.19396, 361, 362, 0.39952993392944336, 0.000308990478515625, 0.00010061264038085938, 7.0333480834960938e-05, 4.863739013671875e-05, 2.1457672119140625e-06, 7.0333480834960938e-05, 0.39892888069152832, -0.36110930389276874, -0.3701312770857772, 0.0090219731930083966, 99137, 99322, 128.153, 34.9984, 11.6306, 19.9484, 41.7375, 0.841584, 12.7677, 6.22875, 
3,600,-0.359399,0.711991,5.86522,6.13475,64.2348,1.429,16.2084,2429,173, 148.376, 0.0158725, 141.604, 0.0693412, 6.58157, 5, 6, 0.0040590763092041016, 0.00030827522277832031, 0.00010061264038085938, 6.67572021484375e-05, 4.6968460083007812e-05, 2.384185791015625e-06, 7.2956085205078125e-05, 0.0034611225128173828, -0.35939920297343853, -0.36922811517566634, 0.0098289122022277645, 109938, 110135, 141.601, 38.5037, 12.7932, 22.2177, 46.2954, 0.940196, 14.1108, 6.7403, 
3,700,-0.357828,1.4306,16.2212,6.12495,64.1265,0.712695,5.87395,2439,184, 162.137, 0.0164568, 154.963, 0.0735507, 6.9768, 10, 11, 0.0080859661102294922, 0.00030946731567382812, 0.00010418891906738281, 7.7724456787109375e-05, 4.8398971557617188e-05, 2.384185791015625e-06, 6.9379806518554688e-05, 0.0074744224548339844, -0.35782766129664695, -0.36842750475614472, 0.010599843459498038, 120917, 121126, 154.96, 42.098, 14.094, 24.2727, 50.601, 1.05283, 15.4904, 7.35056, 
3,800,-0.356369,0.713447,5.88155,1.4319,16.2364,6.12025,64.0625,2450,197, 178.299, 0.0171597, 170.672, 0.0785244, 7.42098, 10, 11, 0.019059896469116211, 0.0002918243408203125, 9.8705291748046875e-05, 0.00010085105895996094, 5.1021575927734375e-05, 2.6226043701171875e-06, 6.9379806518554688e-05, 0.018445491790771484, -0.35636850187133839, -0.36769135507550688, 0.011322853204169616, 133547, 133770, 170.657, 46.3279, 15.4915, 26.7811, 55.8568, 1.13992, 17.0258, 8.03425, 
3,900,-0.354998,0.71445,5.88731,6.11556,64.0043,1.43147,16.2402,2457,220, 207.336, 0.0182276, 198.901, 0.0865316, 8.21591, 176, 177, 0.20317769050598145, 0.000308990478515625, 0.00010013580322265625, 6.9856643676757812e-05, 5.817413330078125e-05, 2.1457672119140625e-06, 6.9856643676757812e-05, 0.20256853103637695, -0.3549975747875655, -0.36698298924247841, 0.011985414454912859, 156390, 156637, 198.885, 53.9139, 18.1544, 30.9022, 65.0934, 1.27619, 20.1879, 9.35738, 
3,1000,-0.353708,1.4323,16.2492,6.10762,63.9238,0.715229,5.89419,2463,234, 226.641, 0.0188124, 217.662, 0.0918882, 8.74007, 712, 713, 0.90013766288757324, 0.00029325485229492188, 9.8943710327148438e-05, 6.771087646484375e-05, 6.3657760620117188e-05, 2.1457672119140625e-06, 6.8902969360351562e-05, 0.89954304695129395, -0.35370782265507983, -0.36630729793143701, 0.012599475276357779, 171102, 171364, 217.646, 59.1018, 19.8659, 33.8809, 71.0258, 1.40819, 22.1636, 10.2001, 
3,2000,-0.343453,0.721947,5.94517,6.04428,63.3196,1.43943,16.3357,2528,263, 264.265, 0.0199399, 254.226, 0.102319, 9.77285, 5, 6, 0.017896413803100586, 0.00029706954956054688, 0.00010371208190917969, 7.1048736572265625e-05, 4.7922134399414062e-05, 3.0994415283203125e-06, 0.00011444091796875, 0.017259120941162109, -0.343453392171713, -0.36090325355453645, 0.017449861382822472, 200107, 200399, 254.21, 69.4021, 23.3322, 39.5908, 82.35, 1.69761, 26.0232, 11.8143, 
3,3000,-0.298819,0.926041,8.92358,5.84353,61.7594,0.904474,8.56564,2503,285, 289.202, 0.0211041, 278.4, 0.110288, 10.5233, 22, 23, 0.047518253326416016, 0.00030446052551269531, 8.20159912109375e-05, 6.4849853515625e-05, 4.1961669921875e-05, 2.384185791015625e-06, 6.3657760620117188e-05, 0.04695892333984375, -0.29881860694811763, -0.31870657097218275, 0.01988796402406643, 221495, 221810, 278.384, 76.7883, 25.4198, 43.4022, 89.4279, 1.87689, 28.4727, 12.9959, 
3,4000,-0.32893,0.72964,6.00179,1.48305,16.8226,6.05245,63.3639,2645,327, 342.34, 0.0225441, 330.116, 0.126298, 11.9222, 61, 62, 0.085068225860595703, 0.00030803680419921875, 0.00010061264038085938, 6.8187713623046875e-05, 4.5299530029296875e-05, 2.1457672119140625e-06, 6.866455078125e-05, 0.084475278854370117, -0.32893022945067774, -0.3525189070013548, 0.023588677550675841, 263556, 263914, 330.1, 91.7442, 30.2917, 51.4726, 105.302, 2.26594, 33.6858, 15.3379, 
3,5000,-0.323014,1.45819,16.5281,5.94128,62.4344,0.732851,6.01422,2650,404, 441.488, 0.0253103, 426.634, 0.152534, 14.5154, 10, 11, 0.031291961669921875, 0.00030875205993652344, 0.00010085105895996094, 7.3194503784179688e-05, 4.7206878662109375e-05, 2.384185791015625e-06, 6.9141387939453125e-05, 0.030690431594848633, -0.32301407838939133, -0.35102079133257191, 0.028006712943182934, 340566, 341002, 426.616, 117.963, 39.1828, 66.2117, 137.439, 2.84843, 43.515, 19.4558, 
3,6000,-0.283539,0.880156,8.25862,5.55299,59.0146,1.01223,9.91739,2615,432, 478.539, 0.0263584, 462.793, 0.16255, 15.3915, 9, 10, 0.018739700317382812, 0.00030446052551269531, 0.0001010894775390625, 6.580352783203125e-05, 6.9379806518554688e-05, 2.1457672119140625e-06, 6.9141387939453125e-05, 0.018127679824829102, -0.28353926089529691, -0.31008707285192894, 0.026547811956632382, 368575, 369040, 462.776, 127.688, 42.4212, 71.7281, 149.877, 3.06865, 46.9773, 21.0151, 
3,7000,-0.3126,0.736866,6.07605,1.5366,17.3672,6.02618,63.0346,2799,496, 559.51, 0.0401046, 541.595, 0.185235, 17.5181, 11, 12, 0.020182132720947266, 0.000308990478515625, 0.0001049041748046875, 6.961822509765625e-05, 4.57763671875e-05, 2.1457672119140625e-06, 6.7949295043945312e-05, 0.019582748413085938, -0.31260006419444053, -0.34279276437041206, 0.030192700175971903, 431709, 432239, 541.576, 149.3, 49.6358, 83.8903, 176.088, 3.62926, 54.6652, 24.3678, 
3,8000,-0.30796,1.46422,16.4316,5.77565,60.855,0.736167,6.06282,2748,596, 683.478, 0.0436156, 662.068, 0.233325, 20.9318, 510, 511, 0.60522127151489258, 0.00030660629272460938, 0.0001010894775390625, 6.2704086303710938e-05, 6.3657760620117188e-05, 2.1457672119140625e-06, 6.3180923461914062e-05, 0.60462188720703125, -0.30796010935234219, -0.34268209298885699, 0.034721983636511314, 531219, 531849, 662.047, 183.215, 60.9479, 102.863, 213.642, 4.51471, 66.7229, 30.1425, 
3,9000,-0.30235,0.756074,6.36373,5.74027,60.5305,1.50729,16.952,2759,696, 813.848, 0.047658, 788.793, 0.267885, 24.5275, 1000, 1001, 1.3200008869171143, 0.00033903121948242188, 0.00010466575622558594, 8.2254409790039062e-05, 5.245208740234375e-05, 2.1457672119140625e-06, 6.771087646484375e-05, 1.3193526268005371, -0.30234950977617775, -0.33846004421636777, 0.036110534440195345, 631178, 631908, 788.772, 217.85, 72.5663, 121.659, 255.665, 5.34451, 80.36, 35.3276, 
