?fem_reduce,K,epssqr,abserr,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
1e0,2,300,5.70847,1,2,21, 11.5709, 0.000884533, 11.5314, 0, 0, 156, 157, 2.1090893745422363, 0.010190486907958984, 0.00015759468078613281, 2.193450927734375e-05, 5.0783157348632812e-05, 3.5762786865234375e-06, 0.00016498565673828125, 2.0985000133514404, 0.27555499796989896, 0.19408515728076445, 0.081469840689134432, 881, 902, 11.5225, 10.2042, 0.330691, 0.0423496, 0.672009, 0.00937676, 0.197275, 0.0665872, 
1e0,2,400,6.22564,1,2,22, 13.1798, 0.000912905, 13.1392, 0, 0, 118, 119, 1.6075892448425293, 0.011855363845825195, 0.00011944770812988281, 1.9788742065429688e-05, 2.765655517578125e-05, 2.384185791015625e-06, 0.00015807151794433594, 1.5954065322875977, 0.2988224504278969, 0.2067325679220077, 0.092089882505889592, 999, 1021, 13.13, 11.6741, 0.354428, 0.0464728, 0.751624, 0.0102713, 0.220012, 0.0730994, 
1e0,2,500,6.53692,1,2,23, 14.1815, 0.000953197, 14.1399, 0, 0, 74, 75, 1.0005033016204834, 0.010232210159301758, 0.00012183189392089844, 4.38690185546875e-05, 5.0306320190429688e-05, 3.337860107421875e-06, 0.00016498565673828125, 0.98988676071166992, 0.3193457377085821, 0.21500773964473385, 0.10433799806384833, 1073, 1096, 14.1306, 12.5183, 0.400846, 0.049125, 0.838455, 0.0108981, 0.233896, 0.0790071, 
1e0,2,600,6.82585,1,2,24, 15.3328, 0.000995874, 15.29, 0, 0, 82, 83, 1.1498210430145264, 0.0095462799072265625, 0.000247955322265625, 2.765655517578125e-05, 3.147125244140625e-05, 2.6226043701171875e-06, 0.00025296211242675781, 1.1397120952606201, 0.33750800600845215, 0.22319391158716079, 0.11431409442129149, 1155, 1179, 15.2804, 13.5006, 0.49832, 0.0519273, 0.881453, 0.0116084, 0.252644, 0.0838029, 
1e0,2,700,7.07927,1,2,25, 16.3836, 0.00103688, 16.3287, 0, 0, 72, 73, 1.0386168956756592, 0.010311126708984375, 0.00026202201843261719, 2.574920654296875e-05, 3.0994415283203125e-05, 3.0994415283203125e-05, 0.00020289421081542969, 1.0277531147003174, 0.35396284481431473, 0.23072936784731957, 0.12323347696699534, 1227, 1252, 16.319, 14.3691, 0.562521, 0.0544217, 0.935617, 0.012197, 0.296392, 0.0887642, 
1e0,2,800,7.2132,1,2,26, 16.9781, 0.00107861, 16.9217, 0, 0, 42, 43, 0.59208559989929199, 0.011693239212036133, 0.00024628639221191406, 4.6014785766601562e-05, 3.0279159545898438e-05, 4.291534423828125e-06, 0.00019979476928710938, 0.57986569404602051, 0.36990240324684831, 0.235054241550123, 0.13484816169672512, 1269, 1295, 16.9111, 14.9054, 0.572548, 0.0614705, 0.961469, 0.0125916, 0.30642, 0.0911787, 
1e0,2,900,7.48947,1,2,27, 18.1354, 0.00112081, 18.0763, 0, 0, 81, 82, 1.1543843746185303, 0.0085206031799316406, 0.00019335746765136719, 3.24249267578125e-05, 5.4121017456054688e-05, 4.291534423828125e-06, 0.00017261505126953125, 1.14540696144104, 0.38263807253587728, 0.24449641827611288, 0.13814165425976377, 1350, 1377, 18.0655, 15.9248, 0.594246, 0.06984, 1.02924, 0.0132375, 0.338212, 0.0959265, 
1e0,2,1000,7.8971,1,2,28, 19.4378, 0.0011766, 19.3774, 0, 0, 91, 92, 1.3009064197540283, 0.0089137554168701172, 0.00016260147094726562, 2.4318695068359375e-05, 3.1948089599609375e-05, 3.814697265625e-06, 0.00028157234191894531, 1.2914884090423584, 0.39169277276975184, 0.25855406448421747, 0.13313870828553423, 1441, 1469, 19.3664, 17.0888, 0.613822, 0.0734394, 1.1035, 0.0140443, 0.370064, 0.102673, 
1e0,2,2000,9.02878,1,2,29, 22.5947, 0.00123119, 22.5222, 0, 0, 230, 231, 3.1445746421813965, 0.012036800384521484, 0.00018787384033203125, 2.1219253540039062e-05, 2.574920654296875e-05, 2.86102294921875e-06, 0.000247955322265625, 3.1320521831512451, 0.47444836617026731, 0.302603501267937, 0.17184486490233056, 1671, 1700, 22.5109, 19.8234, 0.76873, 0.081274, 1.28494, 0.0158274, 0.421278, 0.115497, 
1e0,2,3000,9.79371,1,2,30, 25.0504, 0.00127459, 24.9751, 0, 0, 176, 177, 2.4527156352996826, 0.01072382926940918, 0.00036025047302246094, 6.3419342041015625e-05, 4.7206878662109375e-05, 3.337860107421875e-06, 0.000247955322265625, 2.4412696361541748, 0.52067742757232294, 0.33147574777991617, 0.18920167979240618, 1847, 1877, 24.9637, 21.9508, 0.876304, 0.0879598, 1.43723, 0.0172696, 0.46223, 0.131874, 
1e0,2,4000,10.2107,1,2,31, 26.4289, 0.00132465, 26.3526, 0, 0, 100, 101, 1.3772220611572266, 0.010774850845336914, 0.00011992454528808594, 1.8358230590820312e-05, 5.4121017456054688e-05, 2.86102294921875e-06, 0.00015282630920410156, 1.3660991191864014, 0.55847461390542741, 0.34738512490470302, 0.21108948900072555, 1947, 1978, 26.3409, 23.1798, 0.910062, 0.0911372, 1.51913, 0.0181854, 0.484496, 0.138085, 
1e0,2,5000,10.5298,1,2,32, 27.6632, 0.00137115, 27.5855, 0, 0, 83, 84, 1.2327277660369873, 0.0090310573577880859, 0.000202178955078125, 5.626678466796875e-05, 2.8371810913085938e-05, 2.6226043701171875e-06, 0.00019788742065429688, 1.2232093811035156, 0.58819518189492837, 0.35922671719305221, 0.22896846470187565, 2030, 2062, 27.5736, 24.178, 0.986552, 0.0938621, 1.64986, 0.01894, 0.502084, 0.144298, 
1e0,2,6000,10.5893,1,2,33, 27.8243, 0.00141501, 27.7451, 0, 0, 11, 12, 0.15946245193481445, 0.012965202331542969, 0.0001583099365234375, 5.0067901611328125e-05, 2.6226043701171875e-05, 3.5762786865234375e-06, 0.00017976760864257812, 0.14607930183410645, 0.62894834453127046, 0.36144677815068449, 0.26750156638058697, 2041, 2074, 27.7331, 24.3287, 0.989262, 0.0941687, 1.65237, 0.0190463, 0.504629, 0.144939, 
1e0,2,7000,10.6834,1,2,34, 28.1185, 0.00146103, 28.0382, 0, 0, 18, 19, 0.29291296005249023, 0.010080099105834961, 0.00020456314086914062, 2.5987625122070312e-05, 2.9802322387695312e-05, 4.0531158447265625e-06, 0.00019788742065429688, 0.28237056732177734, 0.66402103047530037, 0.36502377910855888, 0.29899725136674205, 2059, 2093, 28.026, 24.5535, 1.01013, 0.0979679, 1.6895, 0.0191901, 0.508822, 0.146835, 
1e0,2,8000,10.825,1,2,35, 28.4599, 0.00150585, 28.3784, 0, 0, 23, 24, 0.33989143371582031, 0.0092210769653320312, 0.00033211708068847656, 2.5987625122070312e-05, 2.956390380859375e-05, 2.6226043701171875e-06, 0.00022363662719726562, 0.33005642890930176, 0.69040077465237026, 0.37044129707393236, 0.31995947757843768, 2082, 2117, 28.3659, 24.8325, 1.0285, 0.113631, 1.70329, 0.0193617, 0.514162, 0.154464, 
1e0,2,9000,10.9031,1,2,36, 28.6227, 0.00155067, 28.5399, 0, 0, 10, 11, 0.16139388084411621, 0.012838840484619141, 0.00022435188293457031, 2.3126602172851562e-05, 2.574920654296875e-05, 2.6226043701171875e-06, 0.0001811981201171875, 0.14809799194335938, 0.72039091243608389, 0.37344745482659913, 0.34694345760948375, 2092, 2128, 28.5273, 24.9783, 1.03108, 0.113905, 1.71318, 0.0194323, 0.51641, 0.154992, 
1e0,2,10000,11.1418,1,2,37, 29.2842, 0.00159502, 29.2, 0, 0, 49, 50, 0.65990328788757324, 0.0099933147430419922, 0.00014925003051757812, 2.2172927856445312e-05, 2.6226043701171875e-05, 3.814697265625e-06, 0.0002040863037109375, 0.64950442314147949, 0.72583383382818867, 0.3827361093316034, 0.34309772449658693, 2141, 2178, 29.1872, 25.592, 1.04368, 0.115681, 1.729, 0.0198064, 0.529324, 0.157704, 
1e0,2,20000,11.259,1,2,38, 29.5837, 0.00163984, 29.4983, 0, 0, 22, 23, 0.29806995391845703, 0.011882781982421875, 0.00012636184692382812, 2.0265579223632812e-05, 2.5033950805664062e-05, 3.814697265625e-06, 0.00015687942504882812, 0.28585481643676758, 1.0350341931893485, 0.38739119425494517, 0.64764299893440358, 2163, 2201, 29.4852, 25.8714, 1.04802, 0.116322, 1.73656, 0.0199678, 0.533859, 0.159135, 
1e0,2,30000,11.5543,1,2,39, 29.9453, 0.00171399, 29.8586, 0, 0, 24, 25, 0.36021614074707031, 0.011633872985839844, 0.00025224685668945312, 2.7894973754882812e-05, 4.863739013671875e-05, 3.814697265625e-06, 0.00019168853759765625, 0.34805798530578613, 1.2335941123308225, 0.39927494893404014, 0.83431916339678436, 2187, 2226, 29.8455, 26.1765, 1.05361, 0.116999, 1.7787, 0.0201867, 0.539108, 0.160324, 
1e0,2,40000,11.6571,1,2,40, 30.2088, 0.00177145, 30.1208, 0, 0, 19, 20, 0.26202583312988281, 0.0092782974243164062, 0.00015616416931152344, 2.2649765014648438e-05, 2.6464462280273438e-05, 3.5762786865234375e-06, 0.00020432472229003906, 0.2523343563079834, 1.4555190162815059, 0.4034486251033278, 1.052070391178173, 2206, 2246, 30.1075, 26.4118, 1.05789, 0.117523, 1.7952, 0.0203412, 0.543353, 0.161366, 
1e0,2,50000,11.9724,1,2,41, 30.3313, 0.00181675, 30.2422, 0, 0, 6, 7, 0.12112784385681152, 0.025451898574829102, 0.0002727508544921875, 3.1709671020507812e-05, 3.337860107421875e-05, 3.0994415283203125e-06, 0.00022196769714355469, 0.095113039016723633, 1.52002473549173, 0.41611412550213084, 1.1039106099895952, 2212, 2253, 30.2286, 26.5188, 1.06074, 0.117831, 1.80222, 0.020381, 0.546971, 0.161677, 
