n,sigmaid,K,epssqr_best,abserr_best,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
59,6,2,0.05,0.308029,1,2,834, 329.021, 0.156722, 327.779, 0, 0, 1000, 1001, 0.66174221038818359, 8.4638595581054688e-05, 9.8705291748046875e-05, 0.00010657310485839844, 1.4543533325195312e-05, 2.384185791015625e-07, 0.00022435188293457031, 0.66121315956115723, 17.501666344944674, 17.472358675545696, 0.029307669399029256, 490780, 491630, 325.08, 41.2899, 48.2847, 52.511, 73.8811, 0.148709, 108.396, 0.56849, 
49,3,2,0.0005,0.0189207,1,2,858, 205.217, 0.16054, 203.912, 0, 0, 9, 10, 0.0067532062530517578, 8.5115432739257812e-05, 0.00010013580322265625, 0.00010800361633300781, 1.52587890625e-05, 0, 0.0002193450927734375, 0.0062253475189208984, 0.64344040575139594, 0.6428175401673879, 0.0006228655838970555, 309198, 310071, 202.898, 25.9113, 30.6934, 33.0087, 45.5497, 0.0964313, 67.2201, 0.417947, 
73,6,2,0.05,0.293777,1,2,884, 320.326, 0.16629, 318.84, 0, 0, 291, 292, 0.19022846221923828, 8.4161758422851562e-05, 9.8466873168945312e-05, 0.00010609626770019531, 1.430511474609375e-05, 2.384185791015625e-07, 0.00021457672119140625, 0.18971061706542969, 17.427842047923697, 17.381329864271436, 0.046512183652355696, 475427, 476326, 309.639, 39.8846, 46.7187, 50.2474, 69.3877, 0.142443, 102.695, 0.56331, 
12,3,2,0.0005,0.0188443,1,2,831, 233.962, 0.1582, 232.681, 0, 0, 522, 523, 0.34287428855895996, 8.392333984375e-05, 0.00010204315185546875, 0.00010657310485839844, 1.430511474609375e-05, 0, 0.00021696090698242188, 0.34235048294067383, 0.63179227324006315, 0.6301322506784186, 0.0016600225615225673, 352556, 353404, 231.633, 29.5938, 34.9881, 37.4945, 52.1918, 0.114273, 76.7987, 0.451807, 
27,4,2,0.005,0.0585116,1,2,886, 238.419, 0.168146, 237.072, 0, 0, 48, 49, 0.032534599304199219, 8.3684921264648438e-05, 9.72747802734375e-05, 0.00010657310485839844, 1.9550323486328125e-05, 2.384185791015625e-07, 0.00021910667419433594, 0.032008171081542969, 1.4317367323047008, 1.4309878101939117, 0.00074892211085549878, 356426, 357327, 235.532, 29.9548, 35.1879, 37.8974, 53.5068, 0.110854, 78.4065, 0.467781, 
79,9,2,0.5,0.42855,1,2,597, 247.771, 0.112405, 246.766, 0, 0, 858, 859, 0.56362462043762207, 8.5115432739257812e-05, 9.822845458984375e-05, 0.00010561943054199219, 1.430511474609375e-05, 0, 0.00021886825561523438, 0.56310248374938965, 1095.026955983637, 1094.8485505470908, 0.17840543654641638, 373955, 374570, 245.966, 31.5635, 36.9141, 39.808, 54.8813, 0.116607, 82.2523, 0.430129, 
69,6,2,0.05,0.259804,1,2,814, 306.494, 0.151148, 305.131, 0, 0, 1000, 1001, 0.65661001205444336, 8.296966552734375e-05, 9.7751617431640625e-05, 0.00010609626770019531, 1.4066696166992188e-05, 0, 0.00021839141845703125, 0.65609073638916016, 17.239582656024226, 17.235124558911309, 0.0044580971129243672, 462316, 463146, 304.003, 38.852, 45.4324, 48.8475, 68.9522, 0.142203, 101.249, 0.527861, 
17,10,2,100,0.479838,1,2,579, 206.875, 0.109246, 205.981, 0, 0, 1000, 1001, 0.65949583053588867, 8.3684921264648438e-05, 9.7513198852539062e-05, 0.00010609626770019531, 1.430511474609375e-05, 0, 0.00021719932556152344, 0.65897703170776367, 4392.5717729562584, 4392.256285831887, 0.31548712437120674, 311135, 311732, 205.305, 26.1152, 30.6072, 33.0493, 46.6603, 0.0945065, 68.4149, 0.363358, 
28,6,2,0.05,0.259015,1,2,812, 310.29, 0.152604, 309.018, 0, 0, 695, 696, 0.45382118225097656, 8.3684921264648438e-05, 9.4890594482421875e-05, 0.00010514259338378906, 1.4066696166992188e-05, 0, 0.00021815299987792969, 0.45330524444580078, 17.405291752633818, 17.399299588154559, 0.0059921644793139127, 466948, 467776, 305.078, 38.9479, 44.4236, 49.0332, 69.7147, 0.143662, 102.285, 0.529798, 
97,9,2,0.5,0.468721,1,2,698, 248.208, 0.13, 247.137, 0, 0, 1000, 1001, 0.66028857231140137, 8.4400177001953125e-05, 9.7751617431640625e-05, 0.00010633468627929688, 1.4543533325195312e-05, 2.384185791015625e-07, 0.00022029876708984375, 0.65976500511169434, 1095.3374436320328, 1095.0384650737187, 0.29897855831429132, 360223, 360938, 237.886, 30.3455, 35.3891, 38.1035, 53.9279, 0.11198, 79.5881, 0.420153, 
