n,sigmaid,K,epssqr_best,abserr_best,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
47,5,2,0.05,0.34289,1,2,823, 276.176, 0.153828, 274.765, 0, 0, 69, 70, 0.046101093292236328, 8.3684921264648438e-05, 9.8466873168945312e-05, 0.00010561943054199219, 1.4543533325195312e-05, 0, 0.00021910667419433594, 0.045579671859741211, 51.660649382043665, 51.629648452183773, 0.031000929859950409, 411524, 412363, 271.127, 34.704, 40.4455, 43.3019, 61.5826, 0.124921, 90.4741, 0.493986, 
71,1,2,0.0005,0.0167025,1,2,816, 215.603, 0.152465, 214.361, 0, 0, 2, 3, 0.0020384788513183594, 8.487701416015625e-05, 9.822845458984375e-05, 0.0001068115234375, 1.430511474609375e-05, 0, 0.0002193450927734375, 0.0015149116516113281, 0.56397839933796723, 0.56311311211888526, 0.00086528721914871909, 323561, 324393, 213.389, 27.2842, 31.8629, 34.0926, 48.4657, 0.0979896, 71.157, 0.428303, 
53,5,2,0.1,0.338394,1,2,854, 310.68, 0.163312, 309.384, 0, 0, 1000, 1001, 0.65830612182617188, 8.4400177001953125e-05, 9.8466873168945312e-05, 0.00010514259338378906, 1.430511474609375e-05, 0, 0.00021910667419433594, 0.65778470039367676, 51.627905660307803, 51.596342010733707, 0.031563649574091052, 465577, 466447, 307.093, 39.133, 45.8719, 49.0931, 69.8523, 0.139756, 102.437, 0.565415, 
38,7,2,100,0.452377,1,2,677, 260.196, 0.129996, 258.735, 0, 0, 1000, 1001, 0.65952086448669434, 8.2492828369140625e-05, 9.5844268798828125e-05, 0.00010323524475097656, 1.4066696166992188e-05, 0, 0.00021290779113769531, 0.6590123176574707, 805.16601456961871, 804.96308488686464, 0.20292968275418183, 387681, 388376, 255.899, 32.672, 38.2019, 40.9947, 58.1651, 0.120607, 85.3011, 0.443556, 
63,1,2,0.0005,0.0156506,1,2,858, 222.843, 0.160374, 221.556, 0, 0, 44, 45, 0.029716253280639648, 8.487701416015625e-05, 9.8466873168945312e-05, 0.000102996826171875, 1.430511474609375e-05, 0, 0.000213623046875, 0.029201984405517578, 0.56041861508345614, 0.55945031852627414, 0.00096829655695998009, 333749, 334622, 220.478, 28.3995, 32.8783, 35.3734, 49.8163, 0.105898, 73.4652, 0.43915, 
12,8,2,10,0.432559,1,2,567, 238.001, 0.109494, 237.063, 0, 0, 1000, 1001, 0.65689992904663086, 8.4400177001953125e-05, 9.5129013061523438e-05, 0.00010633468627929688, 1.4066696166992188e-05, 0, 0.000217437744140625, 0.65638256072998047, 3234.299514085134, 3233.9456965857898, 0.35381749934407852, 358220, 358805, 235.615, 30.0793, 34.3246, 38.3036, 53.7322, 0.110932, 78.6597, 0.404787, 
2,10,2,100,0.437185,1,2,496, 153.022, 0.095479, 152.26, 0, 0, 1000, 1001, 0.65404987335205078, 8.2731246948242188e-05, 9.7751617431640625e-05, 0.00010561943054199219, 1.4543533325195312e-05, 0, 0.00021839141845703125, 0.65353083610534668, 52578.824964589687, 52576.44544208124, 2.3795225084582379, 231722, 232237, 151.663, 19.4008, 22.8158, 24.4352, 33.8157, 0.0744097, 50.831, 0.290056, 
13,5,2,0.1,0.290784,1,2,657, 293.832, 0.12616, 292.707, 0, 0, 482, 483, 0.32100725173950195, 8.5115432739257812e-05, 9.7990036010742188e-05, 0.0001087188720703125, 1.4781951904296875e-05, 0, 0.00022006034851074219, 0.3204805850982666, 52.604696443875497, 52.578206647024643, 0.026489796850739898, 428642, 429316, 284.329, 36.1326, 42.3055, 45.9661, 64.836, 0.130569, 94.4803, 0.47844, 
36,9,2,0.5,0.475409,1,2,508, 173.901, 0.0975952, 172.901, 0, 0, 1000, 1001, 0.65945959091186523, 8.487701416015625e-05, 9.8466873168945312e-05, 0.00010585784912109375, 1.430511474609375e-05, 0, 0.00021982192993164062, 0.6589362621307373, 13224.918730043722, 13224.237520336159, 0.68120970756237964, 257150, 257677, 169.603, 21.7731, 25.2436, 27.2012, 38.3979, 0.0808408, 56.5923, 0.314119, 
24,2,2,0.001,0.0459291,1,2,863, 203.998, 0.160445, 202.387, 0, 0, 10, 11, 0.0073435306549072266, 8.392333984375e-05, 9.4890594482421875e-05, 0.00010657310485839844, 1.430511474609375e-05, 0, 0.00021910667419433594, 0.0068247318267822266, 1.160028773914191, 1.1595593088635741, 0.00046946505053925428, 304356, 305234, 200.024, 25.4491, 29.1493, 32.3036, 45.6572, 0.0931866, 66.9505, 0.421194, 
