width,height,T,K,depth,epssqr,abserr,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
256,128,1000,2,20,0.09,14616.6,0.5,0.51,21, 336.375, 7.27354, 325.434, 0.00968194, 0.0111289, 467, 468, 24.368685007095337, 0.0028820037841796875, 0.032532930374145508, 0.0029289722442626953, 0.0028460025787353516, 0, 0.0044391155242919922, 24.323055982589722, 134.39300268663703, 134.33877364547911, 602.54490175464002, 6385, 6406, 325.407, 18.9961, 208.223, 22.8589, 42.9654, 0.00154853, 32.3105, 0.0519273, 
256,128,1000,2,21,0.1,14793.9,0.5,0.51,22, 357.729, 7.61577, 346.275, 0.0100901, 0.0115778, 412, 413, 20.839750051498413, 0.0029568672180175781, 0.032470941543579102, 0.0028960704803466797, 0.0028460025787353516, 0, 0.0043499469757080078, 20.794230222702026, 134.39842527644174, 134.3496183559686, 488.06920473137018, 6797, 6819, 346.247, 20.1648, 221.65, 24.2511, 45.738, 0.0016551, 34.3873, 0.0545914, 
256,128,1000,2,22,0.2,15632.4,0.5,0.51,23, 388.463, 7.95528, 376.5, 0.010546, 0.012048, 599, 600, 30.223230123519897, 0.0028500556945800781, 0.032493829727172852, 0.0029549598693847656, 0.0028460025787353516, 0, 0.0043380260467529297, 30.177747249603271, 134.42282692817287, 134.39842292280218, 122.0200268535088, 7396, 7419, 376.47, 21.8616, 241.151, 26.3108, 49.769, 0.00179219, 37.3186, 0.0575473, 
256,128,1000,2,23,0.3,15933.9,0.5,0.51,24, 416.228, 8.29803, 403.752, 0.011004, 0.0124931, 514, 515, 27.250974178314209, 0.0026910305023193359, 0.032482147216796875, 0.002964019775390625, 0.0028450489044189453, 0, 0.0043110847473144531, 27.205680847167969, 134.43096081396561, 134.41469009619482, 54.235725902659908, 7910, 7934, 403.721, 23.3751, 257.896, 29.2889, 53.2281, 0.00191212, 39.871, 0.0603461, 
256,128,1000,2,24,0.4,16088.6,0.5,0.51,25, 441.352, 8.64031, 428.364, 0.01142, 0.0128691, 488, 489, 24.610357999801636, 0.003108978271484375, 0.032448053359985352, 0.0027918815612792969, 0.0028481483459472656, 0, 0.0043759346008300781, 24.564785003662109, 134.43502775483336, 134.42282479826554, 30.50739141953499, 8398, 8423, 428.332, 24.814, 273.771, 30.9533, 56.5112, 0.00203681, 42.2174, 0.063112, 
256,128,1000,2,25,0.5,16181.5,0.5,0.51,26, 462.028, 8.97949, 448.531, 0.0117991, 0.0132592, 400, 401, 20.165709018707275, 0.0028169155120849609, 0.03242802619934082, 0.0029239654541015625, 0.0028450489044189453, 0, 0.004302978515625, 20.120392084121704, 134.43746792042626, 134.42770517441662, 19.525492019252706, 8798, 8824, 448.497, 25.9482, 286.793, 32.3407, 59.2029, 0.0021174, 44.145, 0.0657499, 
256,128,1000,2,26,0.6,16243.1,0.5,0.51,27, 478.676, 9.322, 464.666, 0.0124111, 0.0136793, 318, 319, 16.131521940231323, 0.0027909278869628906, 0.032485008239746094, 0.0028450489044189453, 0.0028481483459472656, 0, 0.0044019222259521484, 16.086150884628296, 134.43909470798155, 134.43095649638255, 13.563685998329948, 9116, 9143, 464.629, 26.8681, 297.16, 33.4932, 61.3429, 0.00219512, 45.6946, 0.0682549, 
256,128,1000,2,27,0.7,16287.4,0.5,0.51,28, 490.814, 9.66414, 476.292, 0.0128441, 0.0140514, 230, 231, 11.624572992324829, 0.0027728080749511719, 0.032480955123901367, 0.0027930736541748047, 0.0028440952301025391, 0, 0.0042939186096191406, 11.57938814163208, 134.44025669138767, 134.43328081543211, 9.9655370793734122, 9346, 9374, 476.253, 27.6166, 304.667, 34.2007, 62.8905, 0.00224566, 46.8056, 0.0706565, 
256,128,1000,2,28,0.8,16320.6,0.5,0.51,29, 505.319, 10.006, 490.285, 0.0132141, 0.0144694, 276, 277, 13.99239182472229, 0.0027878284454345703, 0.032452106475830078, 0.0028309822082519531, 0.0028460025787353516, 0, 0.0042719841003417969, 13.947202920913696, 134.44112818029524, 134.43502381113069, 7.630461455676846, 9622, 9651, 490.246, 28.4424, 313.67, 35.1786, 64.7477, 0.00230527, 48.1322, 0.073082, 
256,128,1000,2,29,0.9,16346.6,0.5,0.51,30, 515.929, 10.3455, 500.386, 0.0136201, 0.0149693, 198, 199, 10.099120140075684, 0.0027492046356201172, 0.032545089721679688, 0.0028460025787353516, 0.0028469562530517578, 0, 0.0042312145233154297, 10.053901672363281, 134.4418059947468, 134.43638118343256, 6.0275681269393004, 9820, 9850, 500.345, 29.0881, 320.139, 35.8706, 66.0803, 0.00235462, 49.0889, 0.0754094, 
256,128,1000,2,30,1,16367.2,0.5,0.51,31, 530.304, 10.6872, 514.25, 0.0143101, 0.0155203, 275, 276, 13.862978935241699, 0.0027880668640136719, 0.0324249267578125, 0.0028550624847412109, 0.0028460025787353516, 9.5367431640625e-07, 0.0042440891265869141, 13.817819833755493, 134.44234825563603, 134.43746539491826, 4.8828607177661913, 10095, 10126, 514.208, 29.9027, 329.099, 36.7871, 67.9306, 0.00242567, 50.4085, 0.0778422, 
256,128,1000,2,31,10,16534.3,0.5,0.51,32, 562.456, 11.0284, 545.891, 0.0147212, 0.0158954, 631, 632, 31.639730930328369, 0.0030109882354736328, 0.032438993453979492, 0.0028629302978515625, 0.0028460025787353516, 0, 0.0044090747833251953, 31.594162940979004, 134.446740716796, 134.44624902778384, 0.049168901219108885, 10726, 10758, 545.848, 31.6907, 349.612, 38.8518, 72.1766, 0.00258446, 53.4328, 0.0808306, 
256,128,1000,2,32,100,16550.8,0.5,0.51,33, 580.808, 11.3673, 563.735, 0.015131, 0.0162795, 353, 354, 17.843088150024414, 0.0027449131011962891, 0.032459020614624023, 0.0028340816497802734, 0.0028491020202636719, 0, 0.0042469501495361328, 17.797954082489014, 134.44718170497029, 134.44712827527087, 0.00053429699363499727, 11079, 11112, 563.691, 32.7217, 361.103, 40.0856, 74.552, 0.00267243, 55.1419, 0.0834186, 
256,128,1000,2,33,1000,16551.6,0.5,0.51,34, 583.735, 11.7088, 566.152, 0.015589, 0.0166965, 48, 49, 2.415532112121582, 0.0029039382934570312, 0.031535863876342773, 0.0028080940246582031, 0.0028460025787353516, 0, 0.0043511390686035156, 2.3710870742797852, 134.44724166029957, 134.44722152872072, 2.0131578810547723e-05, 11127, 11161, 566.106, 32.8596, 362.647, 40.2608, 74.875, 0.00268364, 55.3756, 0.0854824, 
